name,artist,features
Breezeblocks,alt-J,"{'danceability': 0.615, 'energy': 0.658, 'key': 5, 'loudness': -7.299, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.096, 'instrumentalness': 0.000911, 'liveness': 0.205, 'valence': 0.293, 'tempo': 150.093, 'type': 'audio_features', 'id': '3n69hLUdIsSa1WlRmjMZlW', 'uri': 'spotify:track:3n69hLUdIsSa1WlRmjMZlW', 'track_href': 'https://api.spotify.com/v1/tracks/3n69hLUdIsSa1WlRmjMZlW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3n69hLUdIsSa1WlRmjMZlW', 'duration_ms': 227080, 'time_signature': 4}"
YEAH RIGHT,Joji,"{'danceability': 0.672, 'energy': 0.588, 'key': 1, 'loudness': -9.573, 'mode': 1, 'speechiness': 0.133, 'acousticness': 0.619, 'instrumentalness': 0.241, 'liveness': 0.0992, 'valence': 0.204, 'tempo': 169.033, 'type': 'audio_features', 'id': '1VGzxJnVQND7Cg5H5wGj14', 'uri': 'spotify:track:1VGzxJnVQND7Cg5H5wGj14', 'track_href': 'https://api.spotify.com/v1/tracks/1VGzxJnVQND7Cg5H5wGj14', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1VGzxJnVQND7Cg5H5wGj14', 'duration_ms': 174358, 'time_signature': 4}"
Do I Wanna Know?,Arctic Monkeys,"{'danceability': 0.548, 'energy': 0.532, 'key': 5, 'loudness': -7.596, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.186, 'instrumentalness': 0.000263, 'liveness': 0.217, 'valence': 0.405, 'tempo': 85.03, 'type': 'audio_features', 'id': '5FVd6KXrgO9B3JPmC8OPst', 'uri': 'spotify:track:5FVd6KXrgO9B3JPmC8OPst', 'track_href': 'https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst', 'duration_ms': 272394, 'time_signature': 4}"
Show Me How,Men I Trust,"{'danceability': 0.791, 'energy': 0.267, 'key': 5, 'loudness': -11.997, 'mode': 1, 'speechiness': 0.0415, 'acousticness': 0.674, 'instrumentalness': 0.534, 'liveness': 0.102, 'valence': 0.544, 'tempo': 165.99, 'type': 'audio_features', 'id': '01TyFEZu6mHbffsVfxgrFn', 'uri': 'spotify:track:01TyFEZu6mHbffsVfxgrFn', 'track_href': 'https://api.spotify.com/v1/tracks/01TyFEZu6mHbffsVfxgrFn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/01TyFEZu6mHbffsVfxgrFn', 'duration_ms': 215111, 'time_signature': 4}"
Me and My Husband,Mitski,"{'danceability': 0.497, 'energy': 0.638, 'key': 1, 'loudness': -5.31, 'mode': 1, 'speechiness': 0.0274, 'acousticness': 0.0467, 'instrumentalness': 0, 'liveness': 0.385, 'valence': 0.77, 'tempo': 172.01, 'type': 'audio_features', 'id': '3pANfZVFdtuVnJsE6xa5Ox', 'uri': 'spotify:track:3pANfZVFdtuVnJsE6xa5Ox', 'track_href': 'https://api.spotify.com/v1/tracks/3pANfZVFdtuVnJsE6xa5Ox', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3pANfZVFdtuVnJsE6xa5Ox', 'duration_ms': 137142, 'time_signature': 4}"
Homage,Mild High Club,"{'danceability': 0.546, 'energy': 0.465, 'key': 5, 'loudness': -8.167, 'mode': 1, 'speechiness': 0.0287, 'acousticness': 0.153, 'instrumentalness': 0.00259, 'liveness': 0.321, 'valence': 0.415, 'tempo': 73.369, 'type': 'audio_features', 'id': '7DcJ6fEBb7BaKuYKTwiDxK', 'uri': 'spotify:track:7DcJ6fEBb7BaKuYKTwiDxK', 'track_href': 'https://api.spotify.com/v1/tracks/7DcJ6fEBb7BaKuYKTwiDxK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DcJ6fEBb7BaKuYKTwiDxK', 'duration_ms': 177493, 'time_signature': 4}"
Royals,Lorde,"{'danceability': 0.674, 'energy': 0.428, 'key': 7, 'loudness': -9.504, 'mode': 1, 'speechiness': 0.122, 'acousticness': 0.121, 'instrumentalness': 0, 'liveness': 0.132, 'valence': 0.337, 'tempo': 84.878, 'type': 'audio_features', 'id': '2dLLR6qlu5UJ5gk0dKz0h3', 'uri': 'spotify:track:2dLLR6qlu5UJ5gk0dKz0h3', 'track_href': 'https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3', 'duration_ms': 190185, 'time_signature': 4}"
Are You Bored Yet? (feat. Clairo),"Wallows, Clairo","{'danceability': 0.682, 'energy': 0.683, 'key': 8, 'loudness': -6.444, 'mode': 0, 'speechiness': 0.0287, 'acousticness': 0.156, 'instrumentalness': 2.32e-05, 'liveness': 0.273, 'valence': 0.64, 'tempo': 120.023, 'type': 'audio_features', 'id': '57RA3JGafJm5zRtKJiKPIm', 'uri': 'spotify:track:57RA3JGafJm5zRtKJiKPIm', 'track_href': 'https://api.spotify.com/v1/tracks/57RA3JGafJm5zRtKJiKPIm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/57RA3JGafJm5zRtKJiKPIm', 'duration_ms': 178000, 'time_signature': 4}"
Phone Numbers,"Dominic Fike, Kenny Beats","{'danceability': 0.884, 'energy': 0.539, 'key': 1, 'loudness': -6.389, 'mode': 0, 'speechiness': 0.208, 'acousticness': 0.239, 'instrumentalness': 0, 'liveness': 0.0805, 'valence': 0.776, 'tempo': 85.008, 'type': 'audio_features', 'id': '3f9Mzvd3URfbbIJBX4pz9Z', 'uri': 'spotify:track:3f9Mzvd3URfbbIJBX4pz9Z', 'track_href': 'https://api.spotify.com/v1/tracks/3f9Mzvd3URfbbIJBX4pz9Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3f9Mzvd3URfbbIJBX4pz9Z', 'duration_ms': 146827, 'time_signature': 4}"
Kingston,Faye Webster,"{'danceability': 0.73, 'energy': 0.355, 'key': 10, 'loudness': -9.13, 'mode': 0, 'speechiness': 0.0359, 'acousticness': 0.154, 'instrumentalness': 0.00155, 'liveness': 0.117, 'valence': 0.56, 'tempo': 142.143, 'type': 'audio_features', 'id': '5WbfFTuIldjL9x7W6y5l7R', 'uri': 'spotify:track:5WbfFTuIldjL9x7W6y5l7R', 'track_href': 'https://api.spotify.com/v1/tracks/5WbfFTuIldjL9x7W6y5l7R', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5WbfFTuIldjL9x7W6y5l7R', 'duration_ms': 202653, 'time_signature': 4}"
