name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,0.69,0.816,7.0,-4.438,1.0,0.0656,0.0169,0.0,0.567,0.905,134.014,audio_features,7d4lvIqCYS2DGTCZAjmCHu,spotify:track:7d4lvIqCYS2DGTCZAjmCHu,https://api.spotify.com/v1/tracks/7d4lvIqCYS2DGTCZAjmCHu,https://api.spotify.com/v1/audio-analysis/7d4lvIqCYS2DGTCZAjmCHu,174411.0,4.0
AOK,Tai Verdes,0.72,0.715,11.0,-4.652,1.0,0.04,0.258,0.0568,0.107,0.357,107.041,audio_features,5LYMamLv12UPbemOaTPyeV,spotify:track:5LYMamLv12UPbemOaTPyeV,https://api.spotify.com/v1/tracks/5LYMamLv12UPbemOaTPyeV,https://api.spotify.com/v1/audio-analysis/5LYMamLv12UPbemOaTPyeV,193813.0,4.0
Pink + White,Frank Ocean,0.739,0.522,1.0,-10.876,1.0,0.0355,0.0174,0.00608,0.199,0.214,110.0,audio_features,3fpfQC77x3uwESSJ6VmUKM,spotify:track:3fpfQC77x3uwESSJ6VmUKM,https://api.spotify.com/v1/tracks/3fpfQC77x3uwESSJ6VmUKM,https://api.spotify.com/v1/audio-analysis/3fpfQC77x3uwESSJ6VmUKM,188781.0,4.0
Just Cool,Obongjayar,0.705,0.644,2.0,-9.276,1.0,0.071,0.545,0.0434,0.0997,0.235,111.057,audio_features,2jrAN4OhqpaeWrE8Krt2to,spotify:track:2jrAN4OhqpaeWrE8Krt2to,https://api.spotify.com/v1/tracks/2jrAN4OhqpaeWrE8Krt2to,https://api.spotify.com/v1/audio-analysis/2jrAN4OhqpaeWrE8Krt2to,200200.0,4.0
Think That I Don't Need Your Love,Joesef,0.448,0.838,4.0,-5.257,0.0,0.0557,0.21,0.000131,0.131,0.254,139.863,audio_features,45S5WTQEGOB1VHr1Q4FuPl,spotify:track:45S5WTQEGOB1VHr1Q4FuPl,https://api.spotify.com/v1/tracks/45S5WTQEGOB1VHr1Q4FuPl,https://api.spotify.com/v1/audio-analysis/45S5WTQEGOB1VHr1Q4FuPl,208907.0,4.0
More Than A Woman - SG's Paradise Edit,"Bee Gees, SG Lewis",0.664,0.696,2.0,-6.038,1.0,0.0486,0.0162,0.553,0.109,0.49,126.064,audio_features,5789JwERVglbf574Olz2Bi,spotify:track:5789JwERVglbf574Olz2Bi,https://api.spotify.com/v1/tracks/5789JwERVglbf574Olz2Bi,https://api.spotify.com/v1/audio-analysis/5789JwERVglbf574Olz2Bi,215000.0,4.0
Hope,Arlo Parks,0.815,0.518,7.0,-6.594,0.0,0.0897,0.223,0.0,0.104,0.877,151.891,audio_features,1tNJrcVe6gwLEiZCtprs1u,spotify:track:1tNJrcVe6gwLEiZCtprs1u,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,177667.0,4.0
Hi-Fidelity,"Lava La Rue, Biig Piig",0.823,0.441,8.0,-7.645,1.0,0.156,0.636,7.68e-05,0.114,0.752,135.947,audio_features,68OnIh4v10tWxZYJTsHJWX,spotify:track:68OnIh4v10tWxZYJTsHJWX,https://api.spotify.com/v1/tracks/68OnIh4v10tWxZYJTsHJWX,https://api.spotify.com/v1/audio-analysis/68OnIh4v10tWxZYJTsHJWX,199533.0,4.0
Relax My Eyes,"ANOTR, Abel Balder",0.602,0.835,10.0,-4.573,0.0,0.0413,0.0921,6.43e-05,0.138,0.496,97.992,audio_features,62tGzw9OJOwDcjPBnMPCuj,spotify:track:62tGzw9OJOwDcjPBnMPCuj,https://api.spotify.com/v1/tracks/62tGzw9OJOwDcjPBnMPCuj,https://api.spotify.com/v1/audio-analysis/62tGzw9OJOwDcjPBnMPCuj,327218.0,4.0
Early,"Joy Crookes, Jafaris",0.51,0.434,1.0,-10.004,1.0,0.0361,0.177,0.516,0.0603,0.207,119.695,audio_features,3Ty7OTBNSigGEpeW2PqcsC,spotify:track:3Ty7OTBNSigGEpeW2PqcsC,https://api.spotify.com/v1/tracks/3Ty7OTBNSigGEpeW2PqcsC,https://api.spotify.com/v1/audio-analysis/3Ty7OTBNSigGEpeW2PqcsC,308627.0,4.0
Sunday Best,Surfaces,0.404,0.72,10.0,-9.18,0.0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,audio_features,6GtX0jaNL8IjVQfrDBx81z,spotify:track:6GtX0jaNL8IjVQfrDBx81z,https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z,https://api.spotify.com/v1/audio-analysis/6GtX0jaNL8IjVQfrDBx81z,258467.0,4.0
Learn To Fly,"Surfaces, Elton John",0.501,0.0903,5.0,-20.377,1.0,0.0509,0.866,0.000243,0.11,0.423,153.441,audio_features,4IKMZtDIqyQDA6a4YvsgpK,spotify:track:4IKMZtDIqyQDA6a4YvsgpK,https://api.spotify.com/v1/tracks/4IKMZtDIqyQDA6a4YvsgpK,https://api.spotify.com/v1/audio-analysis/4IKMZtDIqyQDA6a4YvsgpK,139000.0,4.0
All Of The Time,Jungle,0.5,0.824,4.0,-5.846,0.0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,4P5KoWXOxwuobLmHXLMobV,spotify:track:4P5KoWXOxwuobLmHXLMobV,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV,218920.0,4.0
Daisy Chain,"Pixey, Tayo Sound",0.215,0.927,9.0,-7.327,1.0,0.0452,0.000273,0.00661,0.126,0.49,170.814,audio_features,6qLEOZvf5gI7kWE63JE7p3,spotify:track:6qLEOZvf5gI7kWE63JE7p3,https://api.spotify.com/v1/tracks/6qLEOZvf5gI7kWE63JE7p3,https://api.spotify.com/v1/audio-analysis/6qLEOZvf5gI7kWE63JE7p3,194853.0,4.0
Lets Go Surfing,The Drums,0.457,0.909,0.0,-9.451,1.0,0.0317,0.0016,0.000276,0.135,0.755,115.998,audio_features,2CdS3DRqWR5LAhy4hM5X9W,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,156667.0,4.0
Good Vibrations,Nectar Woode,0.563,0.536,10.0,-9.488,1.0,0.0286,0.0874,0.000105,0.164,0.312,81.094,audio_features,2qRZm3cGCUPK40j3g0G5cN,spotify:track:2qRZm3cGCUPK40j3g0G5cN,https://api.spotify.com/v1/tracks/2qRZm3cGCUPK40j3g0G5cN,https://api.spotify.com/v1/audio-analysis/2qRZm3cGCUPK40j3g0G5cN,207360.0,4.0
MAMA'S EYES,METTE,0.35,0.828,6.0,-5.373,1.0,0.041,0.000217,0.000161,0.0774,0.147,105.435,audio_features,2EoOZnxNgtmZaD8uUmz2nD,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD,318587.0,4.0
Too Good,Arlo Parks,0.542,0.627,0.0,-7.105,1.0,0.0243,0.0794,0.000517,0.277,0.814,89.734,audio_features,4OHVCeQYPncEwZOtNAJZZx,spotify:track:4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/tracks/4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/audio-analysis/4OHVCeQYPncEwZOtNAJZZx,305213.0,4.0
Good News,Bakar,0.302,0.854,2.0,-6.619,1.0,0.0757,0.102,1.45e-06,0.0835,0.589,156.278,audio_features,4j3obTRIyR7QzvdeQz9vaO,spotify:track:4j3obTRIyR7QzvdeQz9vaO,https://api.spotify.com/v1/tracks/4j3obTRIyR7QzvdeQz9vaO,https://api.spotify.com/v1/audio-analysis/4j3obTRIyR7QzvdeQz9vaO,244827.0,4.0
Sunshine,Tom Misch,0.615,0.419,11.0,-8.8,0.0,0.0395,0.0173,0.497,0.135,0.216,76.997,audio_features,67Hna13dNDkZvBpTXRIaOJ,spotify:track:67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/tracks/67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/audio-analysis/67Hna13dNDkZvBpTXRIaOJ,330773.0,4.0
Everybody’s Gonna Love Somebody - Edit,Alfie Templeman,0.686,0.73,4.0,-7.954,0.0,0.0269,0.00288,0.478,0.0641,0.507,112.245,audio_features,7yrZCBUokAMTJtOzXSHKYu,spotify:track:7yrZCBUokAMTJtOzXSHKYu,https://api.spotify.com/v1/tracks/7yrZCBUokAMTJtOzXSHKYu,https://api.spotify.com/v1/audio-analysis/7yrZCBUokAMTJtOzXSHKYu,213293.0,4.0
Following the Sun,"SUPER-Hi, NEEKA",0.389,0.476,9.0,-9.342,1.0,0.0316,0.619,5.09e-05,0.255,0.566,148.117,audio_features,6txWz9UapYHVxEd7dDIHXT,spotify:track:6txWz9UapYHVxEd7dDIHXT,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT,https://api.spotify.com/v1/audio-analysis/6txWz9UapYHVxEd7dDIHXT,217107.0,4.0
Leave It On The Dancefloor,Hope Tala,0.576,0.953,10.0,-8.968,1.0,0.0362,0.00106,0.49,0.474,0.303,140.042,audio_features,7xQYVjs4wZNdCwO0EeAWMC,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,https://api.spotify.com/v1/tracks/7xQYVjs4wZNdCwO0EeAWMC,https://api.spotify.com/v1/audio-analysis/7xQYVjs4wZNdCwO0EeAWMC,456480.0,4.0
Ok Love You Bye,Olivia Dean,0.528,0.904,2.0,-5.854,1.0,0.0343,0.000833,0.0,0.174,0.678,122.372,audio_features,5bVOX6eyHsML2sB4aMlZEi,spotify:track:5bVOX6eyHsML2sB4aMlZEi,https://api.spotify.com/v1/tracks/5bVOX6eyHsML2sB4aMlZEi,https://api.spotify.com/v1/audio-analysis/5bVOX6eyHsML2sB4aMlZEi,230040.0,4.0
Come Around and Love Me,Jalen Ngonda,0.654,0.611,2.0,-10.45,1.0,0.119,0.0337,0.000178,0.405,0.786,85.387,audio_features,5PntSbMHC1ud6Vvl8x56qd,spotify:track:5PntSbMHC1ud6Vvl8x56qd,https://api.spotify.com/v1/tracks/5PntSbMHC1ud6Vvl8x56qd,https://api.spotify.com/v1/audio-analysis/5PntSbMHC1ud6Vvl8x56qd,235000.0,4.0
Happiness In Liquid Form,Alfie Templeman,0.456,0.752,11.0,-8.121,0.0,0.09,0.0095,0.00145,0.0573,0.897,183.569,audio_features,0fsz7tJ7UKXT9hliLfO7aE,spotify:track:0fsz7tJ7UKXT9hliLfO7aE,https://api.spotify.com/v1/tracks/0fsz7tJ7UKXT9hliLfO7aE,https://api.spotify.com/v1/audio-analysis/0fsz7tJ7UKXT9hliLfO7aE,179600.0,4.0
When You Were Mine,Joy Crookes,0.437,0.652,0.0,-6.152,1.0,0.0288,0.0011,0.614,0.111,0.211,111.888,audio_features,6INLpBxo9F5QMer04VXEnd,spotify:track:6INLpBxo9F5QMer04VXEnd,https://api.spotify.com/v1/tracks/6INLpBxo9F5QMer04VXEnd,https://api.spotify.com/v1/audio-analysis/6INLpBxo9F5QMer04VXEnd,298467.0,4.0
Dizzy (feat. Thomas Headon and Alfie Templeman),"chloe moriondo, Thomas Headon, Alfie Templeman",0.324,0.938,6.0,-7.332,0.0,0.102,0.032,0.0321,0.0961,0.543,168.131,audio_features,0Puj4YlTm6xNzDDADXHMI9,spotify:track:0Puj4YlTm6xNzDDADXHMI9,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9,https://api.spotify.com/v1/audio-analysis/0Puj4YlTm6xNzDDADXHMI9,178440.0,4.0
Georgia,Thomas Headon,0.309,0.649,7.0,-8.994,1.0,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440.0,4.0
Music For a Sushi Restaurant,Harry Styles,0.767,0.787,3.0,-9.897,1.0,0.0331,0.0163,0.583,0.0513,0.964,126.879,audio_features,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200.0,4.0
Softly,Arlo Parks,0.546,0.572,5.0,-13.104,1.0,0.0319,0.0701,0.000731,0.079,0.529,113.312,audio_features,7ziicmUOzWXAkdPriOmFk9,spotify:track:7ziicmUOzWXAkdPriOmFk9,https://api.spotify.com/v1/tracks/7ziicmUOzWXAkdPriOmFk9,https://api.spotify.com/v1/audio-analysis/7ziicmUOzWXAkdPriOmFk9,238120.0,4.0
Tell Me,Conor Albert,0.324,0.136,0.0,-10.33,1.0,0.0318,0.931,0.00117,0.176,0.0831,97.256,audio_features,3pRaLNL3b8x5uBOcsgvdqM,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,https://api.spotify.com/v1/tracks/3pRaLNL3b8x5uBOcsgvdqM,https://api.spotify.com/v1/audio-analysis/3pRaLNL3b8x5uBOcsgvdqM,413827.0,3.0
Golden,Harry Styles,0.531,0.915,11.0,-4.237,1.0,0.0369,0.0119,0.0,0.14,0.811,134.322,audio_features,56rcBuVd1mpTeqP9cj3szc,spotify:track:56rcBuVd1mpTeqP9cj3szc,https://api.spotify.com/v1/tracks/56rcBuVd1mpTeqP9cj3szc,https://api.spotify.com/v1/audio-analysis/56rcBuVd1mpTeqP9cj3szc,218587.0,4.0
Feel Like Makin' Love (feat. Roberta Flack),"Supershy, Roberta Flack",0.436,0.876,10.0,-4.902,0.0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,audio_features,30HCB1FoE77IfGRyNv4eFq,spotify:track:30HCB1FoE77IfGRyNv4eFq,https://api.spotify.com/v1/tracks/30HCB1FoE77IfGRyNv4eFq,https://api.spotify.com/v1/audio-analysis/30HCB1FoE77IfGRyNv4eFq,255080.0,4.0
3 Nights,Dominic Fike,0.404,0.902,7.0,-5.685,0.0,0.0468,0.0431,0.0,0.119,0.231,131.894,audio_features,0txLC5NA64M8siGn3mnET0,spotify:track:0txLC5NA64M8siGn3mnET0,https://api.spotify.com/v1/tracks/0txLC5NA64M8siGn3mnET0,https://api.spotify.com/v1/audio-analysis/0txLC5NA64M8siGn3mnET0,262827.0,4.0
Plastic Plants,Mahalia,0.331,0.885,9.0,-6.606,1.0,0.0923,0.205,0.0,0.123,0.589,175.293,audio_features,6L4fEE9awoUnSEy1bmQebb,spotify:track:6L4fEE9awoUnSEy1bmQebb,https://api.spotify.com/v1/tracks/6L4fEE9awoUnSEy1bmQebb,https://api.spotify.com/v1/audio-analysis/6L4fEE9awoUnSEy1bmQebb,236960.0,4.0
No More Lies,"Thundercat, Tame Impala",0.666,0.855,9.0,-5.051,0.0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,audio_features,31AOj9sFz2gM0O3hMARRBx,spotify:track:31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/tracks/31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/audio-analysis/31AOj9sFz2gM0O3hMARRBx,268427.0,4.0
Glory Box,Portishead,0.565,0.902,7.0,-7.579,0.0,0.0725,0.0132,0.0,0.0561,0.544,133.11,audio_features,2aC8wwfrM0YeTAzzk8hxqC,spotify:track:2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/tracks/2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/audio-analysis/2aC8wwfrM0YeTAzzk8hxqC,273573.0,4.0
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,0.698,0.633,8.0,-6.68,0.0,0.0406,0.0508,0.272,0.264,0.55,94.085,audio_features,6vTtCOimcPs5H1Jr9d0Aep,spotify:track:6vTtCOimcPs5H1Jr9d0Aep,https://api.spotify.com/v1/tracks/6vTtCOimcPs5H1Jr9d0Aep,https://api.spotify.com/v1/audio-analysis/6vTtCOimcPs5H1Jr9d0Aep,252267.0,4.0
Say Yes,Elliott Smith,0.677,0.484,9.0,-10.506,0.0,0.0325,0.077,4.71e-05,0.134,0.696,123.534,audio_features,79dD64QT2l64W12VkPGjvZ,spotify:track:79dD64QT2l64W12VkPGjvZ,https://api.spotify.com/v1/tracks/79dD64QT2l64W12VkPGjvZ,https://api.spotify.com/v1/audio-analysis/79dD64QT2l64W12VkPGjvZ,247200.0,4.0
Come As You Are,Nirvana,0.507,0.882,6.0,-3.917,1.0,0.0337,0.0053,0.0,0.177,0.907,142.398,audio_features,02ZdZqhpfrPnxwyakXgxB8,spotify:track:02ZdZqhpfrPnxwyakXgxB8,https://api.spotify.com/v1/tracks/02ZdZqhpfrPnxwyakXgxB8,https://api.spotify.com/v1/audio-analysis/02ZdZqhpfrPnxwyakXgxB8,134200.0,4.0
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,0.561,0.706,9.0,-9.446,1.0,0.029,0.00263,0.00125,0.122,0.569,126.077,audio_features,66IC0uXoVyYT5q3R27bbZy,spotify:track:66IC0uXoVyYT5q3R27bbZy,https://api.spotify.com/v1/tracks/66IC0uXoVyYT5q3R27bbZy,https://api.spotify.com/v1/audio-analysis/66IC0uXoVyYT5q3R27bbZy,244867.0,4.0
Laid,James,0.478,0.854,7.0,-5.454,1.0,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,audio_features,1A5V1sxyCLpKJezp75tUXn,spotify:track:1A5V1sxyCLpKJezp75tUXn,https://api.spotify.com/v1/tracks/1A5V1sxyCLpKJezp75tUXn,https://api.spotify.com/v1/audio-analysis/1A5V1sxyCLpKJezp75tUXn,274160.0,4.0
Hedonism (Just Because You Feel Good),Skunk Anansie,0.634,0.551,3.0,-7.136,1.0,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,audio_features,6VoIBz0VhCyz7OdEoRYDiA,spotify:track:6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/tracks/6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/audio-analysis/6VoIBz0VhCyz7OdEoRYDiA,258827.0,4.0
Black Hole Sun,Soundgarden,0.714,0.309,7.0,-10.796,1.0,0.0291,0.0157,0.807,0.0777,0.0671,107.346,audio_features,7uv632EkfwYhXoqf8rhYrg,spotify:track:7uv632EkfwYhXoqf8rhYrg,https://api.spotify.com/v1/tracks/7uv632EkfwYhXoqf8rhYrg,https://api.spotify.com/v1/audio-analysis/7uv632EkfwYhXoqf8rhYrg,379533.0,4.0
Beetlebum - 2012 Remaster,Blur,0.284,0.875,11.0,-6.069,0.0,0.0422,0.00752,0.000461,0.402,0.595,75.009,audio_features,1L94M3KIu7QluZe63g64rv,spotify:track:1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv,340907.0,4.0
Babies,Pulp,0.452,0.909,9.0,-3.977,1.0,0.0366,0.0313,0.0603,0.23,0.805,124.623,audio_features,1v2zyAJrChw5JnfafSkwkJ,spotify:track:1v2zyAJrChw5JnfafSkwkJ,https://api.spotify.com/v1/tracks/1v2zyAJrChw5JnfafSkwkJ,https://api.spotify.com/v1/audio-analysis/1v2zyAJrChw5JnfafSkwkJ,225787.0,4.0
Teardrop,"Massive Attack, Elizabeth Fraser",0.546,0.867,11.0,-4.235,0.0,0.0354,0.0256,0.000229,0.221,0.189,127.988,audio_features,64SIlhd3BaHCCMSfajXG7l,spotify:track:64SIlhd3BaHCCMSfajXG7l,https://api.spotify.com/v1/tracks/64SIlhd3BaHCCMSfajXG7l,https://api.spotify.com/v1/audio-analysis/64SIlhd3BaHCCMSfajXG7l,322040.0,4.0
Cut (1990 Demo) - 2022 Remaster,The Cure,0.245,0.542,7.0,-7.159,1.0,0.0324,0.147,4.05e-06,0.102,0.365,204.824,audio_features,49t1GWE6ZiEoBgN92oMDdM,spotify:track:49t1GWE6ZiEoBgN92oMDdM,https://api.spotify.com/v1/tracks/49t1GWE6ZiEoBgN92oMDdM,https://api.spotify.com/v1/audio-analysis/49t1GWE6ZiEoBgN92oMDdM,211960.0,4.0
No Rain,Blind Melon,0.438,0.905,9.0,-6.161,1.0,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,audio_features,2V4Bc2I962j7acQj1N0PiQ,spotify:track:2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/tracks/2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/audio-analysis/2V4Bc2I962j7acQj1N0PiQ,162667.0,4.0
Born Slippy (Nuxx),Underworld,0.633,0.49,10.0,-7.668,1.0,0.0255,0.395,6.92e-05,0.0886,0.66,132.178,audio_features,5AMrnF761nziCWUfjBgRUI,spotify:track:5AMrnF761nziCWUfjBgRUI,https://api.spotify.com/v1/tracks/5AMrnF761nziCWUfjBgRUI,https://api.spotify.com/v1/audio-analysis/5AMrnF761nziCWUfjBgRUI,280107.0,3.0
Malibu,Hole,0.49,0.652,2.0,-5.813,1.0,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,audio_features,37pKTyMwalomKCZjxTc2QZ,spotify:track:37pKTyMwalomKCZjxTc2QZ,https://api.spotify.com/v1/tracks/37pKTyMwalomKCZjxTc2QZ,https://api.spotify.com/v1/audio-analysis/37pKTyMwalomKCZjxTc2QZ,192467.0,4.0
Hey Boy Hey Girl,The Chemical Brothers,0.684,0.694,3.0,-5.776,1.0,0.0375,0.000351,0.7,0.0496,0.882,121.342,audio_features,53LZqMzQEnjBkFXPqOq0cD,spotify:track:53LZqMzQEnjBkFXPqOq0cD,https://api.spotify.com/v1/tracks/53LZqMzQEnjBkFXPqOq0cD,https://api.spotify.com/v1/audio-analysis/53LZqMzQEnjBkFXPqOq0cD,140480.0,4.0
Loser,Beck,0.619,0.781,5.0,-7.456,0.0,0.0393,0.0245,0.000293,0.402,0.533,126.266,audio_features,0MteK167vtyb6hoJNC3Uz3,spotify:track:0MteK167vtyb6hoJNC3Uz3,https://api.spotify.com/v1/tracks/0MteK167vtyb6hoJNC3Uz3,https://api.spotify.com/v1/audio-analysis/0MteK167vtyb6hoJNC3Uz3,236583.0,4.0
The Distance,CAKE,0.556,0.92,8.0,-4.606,1.0,0.0367,0.00271,0.00021,0.117,0.771,121.138,audio_features,3mwvKOyMmG77zZRunnxp9E,spotify:track:3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E,159227.0,4.0
Sexy Boy,Air,0.623,0.622,2.0,-12.255,1.0,0.0412,0.00168,0.181,0.343,0.319,125.166,audio_features,48mJX8glOrQkrSdVBjc0Wb,spotify:track:48mJX8glOrQkrSdVBjc0Wb,https://api.spotify.com/v1/tracks/48mJX8glOrQkrSdVBjc0Wb,https://api.spotify.com/v1/audio-analysis/48mJX8glOrQkrSdVBjc0Wb,194507.0,4.0
Sabotage,Beastie Boys,0.484,0.0874,0.0,-17.796,1.0,0.0394,0.894,0.154,0.11,0.219,94.163,audio_features,39CFOvYse9fcMhIwyS73Fl,spotify:track:39CFOvYse9fcMhIwyS73Fl,https://api.spotify.com/v1/tracks/39CFOvYse9fcMhIwyS73Fl,https://api.spotify.com/v1/audio-analysis/39CFOvYse9fcMhIwyS73Fl,256120.0,4.0
Zombie,The Cranberries,0.523,0.0774,7.0,-23.594,0.0,0.0631,0.937,0.886,0.107,0.354,135.207,audio_features,1JbUMtVkQuaAPdHOvncVTm,spotify:track:1JbUMtVkQuaAPdHOvncVTm,https://api.spotify.com/v1/tracks/1JbUMtVkQuaAPdHOvncVTm,https://api.spotify.com/v1/audio-analysis/1JbUMtVkQuaAPdHOvncVTm,141200.0,3.0
1979 - Remastered 2012,The Smashing Pumpkins,0.4,0.82,11.0,-12.281,1.0,0.0466,0.000295,0.79,0.236,0.135,128.894,audio_features,3HfEgAaf0koxBpBB8NvGda,spotify:track:3HfEgAaf0koxBpBB8NvGda,https://api.spotify.com/v1/tracks/3HfEgAaf0koxBpBB8NvGda,https://api.spotify.com/v1/audio-analysis/3HfEgAaf0koxBpBB8NvGda,251933.0,4.0
The Only One I Know,The Charlatans,0.442,0.943,3.0,-3.205,1.0,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,audio_features,6L89mwZXSOwYl76YXfX13s,spotify:track:6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,181533.0,4.0
Hallelujah,Jeff Buckley,0.354,0.394,2.0,-11.567,1.0,0.0534,0.135,0.0432,0.131,0.17,160.555,audio_features,7Bj4wIqRzM6vx278EFYoBh,spotify:track:7Bj4wIqRzM6vx278EFYoBh,https://api.spotify.com/v1/tracks/7Bj4wIqRzM6vx278EFYoBh,https://api.spotify.com/v1/audio-analysis/7Bj4wIqRzM6vx278EFYoBh,248267.0,3.0
Cannonball,The Breeders,0.478,0.923,10.0,-7.547,1.0,0.0569,2.7e-05,0.719,0.325,0.165,133.135,audio_features,2Srd8Jgif3kc6ou6Z4pSYJ,spotify:track:2Srd8Jgif3kc6ou6Z4pSYJ,https://api.spotify.com/v1/tracks/2Srd8Jgif3kc6ou6Z4pSYJ,https://api.spotify.com/v1/audio-analysis/2Srd8Jgif3kc6ou6Z4pSYJ,213800.0,4.0
First of the Gang to Die,Morrissey,0.956,0.795,7.0,-5.311,1.0,0.15,0.00356,0.889,0.0906,0.841,121.294,audio_features,1pKYYY0dkg23sQQXi0Q5zN,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/audio-analysis/1pKYYY0dkg23sQQXi0Q5zN,429533.0,4.0
In Bloom,Nirvana,0.439,0.434,7.0,-14.918,1.0,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,audio_features,0gEyKnHvgkrkBM6fbeHdwK,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/audio-analysis/0gEyKnHvgkrkBM6fbeHdwK,274707.0,4.0
Do You Remember The First Time?,Pulp,0.256,0.641,1.0,-10.283,1.0,0.0552,0.199,0.0329,0.0853,0.382,203.006,audio_features,11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,281160.0,4.0
Country House - 2012 Remaster,Blur,0.291,0.767,7.0,-6.913,0.0,0.0862,0.000401,0.012,0.0763,0.359,175.702,audio_features,1dyTcli07c77mtQK3ahUZR,spotify:track:1dyTcli07c77mtQK3ahUZR,https://api.spotify.com/v1/tracks/1dyTcli07c77mtQK3ahUZR,https://api.spotify.com/v1/audio-analysis/1dyTcli07c77mtQK3ahUZR,234800.0,4.0
