name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Big Dreams,Bakar,0.566,0.846,7.0,-6.904,0.0,0.035,0.000564,0.000795,0.121,0.86,160.02,audio_features,6iYMfxznTBlcVOgRHab2W0,spotify:track:6iYMfxznTBlcVOgRHab2W0,https://api.spotify.com/v1/tracks/6iYMfxznTBlcVOgRHab2W0,https://api.spotify.com/v1/audio-analysis/6iYMfxznTBlcVOgRHab2W0,221827.0,4.0
All Good,Samm Henshaw,0.629,0.947,11.0,-4.414,0.0,0.0592,0.0856,0.0262,0.328,0.659,133.007,audio_features,6I6QkE2UVSj9YX48oRrD6e,spotify:track:6I6QkE2UVSj9YX48oRrD6e,https://api.spotify.com/v1/tracks/6I6QkE2UVSj9YX48oRrD6e,https://api.spotify.com/v1/audio-analysis/6I6QkE2UVSj9YX48oRrD6e,181312.0,4.0
Best Worst Year,STRABE,0.586,0.893,7.0,-8.772,1.0,0.439,0.827,0.642,0.212,0.65,140.023,audio_features,1c5CllrZr45UBhWpIqM332,spotify:track:1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/tracks/1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/audio-analysis/1c5CllrZr45UBhWpIqM332,116630.0,3.0
Feels Right,Biig Piig,0.667,0.466,6.0,-7.565,1.0,0.176,0.703,0.0,0.0807,0.819,85.949,audio_features,4K9Jh6jnw0P4FZUwrG6Keb,spotify:track:4K9Jh6jnw0P4FZUwrG6Keb,https://api.spotify.com/v1/tracks/4K9Jh6jnw0P4FZUwrG6Keb,https://api.spotify.com/v1/audio-analysis/4K9Jh6jnw0P4FZUwrG6Keb,160657.0,4.0
daydreams,easy life,0.698,0.668,9.0,-7.031,0.0,0.0322,0.251,2.86e-05,0.0797,0.719,99.99,audio_features,4i17ViZoevssgUvRifo0V5,spotify:track:4i17ViZoevssgUvRifo0V5,https://api.spotify.com/v1/tracks/4i17ViZoevssgUvRifo0V5,https://api.spotify.com/v1/audio-analysis/4i17ViZoevssgUvRifo0V5,224740.0,4.0
Home,Caribou,0.821,0.444,7.0,-5.954,1.0,0.0796,0.16,0.0191,0.301,0.678,87.029,audio_features,0C3sscH57PNeQ8dmY6xTIR,spotify:track:0C3sscH57PNeQ8dmY6xTIR,https://api.spotify.com/v1/tracks/0C3sscH57PNeQ8dmY6xTIR,https://api.spotify.com/v1/audio-analysis/0C3sscH57PNeQ8dmY6xTIR,176940.0,4.0
Lose My Cool,Amber Mark,0.711,0.436,1.0,-7.917,0.0,0.0313,0.514,2.07e-05,0.272,0.45,100.998,audio_features,1RfPf0W4OlIWROTV5Afs3S,spotify:track:1RfPf0W4OlIWROTV5Afs3S,https://api.spotify.com/v1/tracks/1RfPf0W4OlIWROTV5Afs3S,https://api.spotify.com/v1/audio-analysis/1RfPf0W4OlIWROTV5Afs3S,146876.0,4.0
Me & U,Tems,0.843,0.78,6.0,-7.182,0.0,0.212,0.0836,0.00086,0.0819,0.652,134.962,audio_features,1javLzBHyEKJJrG3s6FHaM,spotify:track:1javLzBHyEKJJrG3s6FHaM,https://api.spotify.com/v1/tracks/1javLzBHyEKJJrG3s6FHaM,https://api.spotify.com/v1/audio-analysis/1javLzBHyEKJJrG3s6FHaM,204600.0,4.0
All I Need,Jake Bugg,0.487,0.808,11.0,-4.832,0.0,0.143,0.00205,0.0589,0.056,0.424,120.143,audio_features,6Orwi1oYLckpnBF7NbCbrg,spotify:track:6Orwi1oYLckpnBF7NbCbrg,https://api.spotify.com/v1/tracks/6Orwi1oYLckpnBF7NbCbrg,https://api.spotify.com/v1/audio-analysis/6Orwi1oYLckpnBF7NbCbrg,244035.0,4.0
Pineapple Sunrise,Beach Weather,0.777,0.72,8.0,-5.293,1.0,0.0525,0.0432,0.0,0.251,0.945,114.955,audio_features,72Dd7GCaepMi8ktuXxmSZF,spotify:track:72Dd7GCaepMi8ktuXxmSZF,https://api.spotify.com/v1/tracks/72Dd7GCaepMi8ktuXxmSZF,https://api.spotify.com/v1/audio-analysis/72Dd7GCaepMi8ktuXxmSZF,194827.0,4.0
Light On,Maggie Rogers,0.55,0.666,5.0,-6.089,1.0,0.0656,0.308,0.00763,0.185,0.423,147.828,audio_features,1mEO3xiJqEWXYIdZalDzHR,spotify:track:1mEO3xiJqEWXYIdZalDzHR,https://api.spotify.com/v1/tracks/1mEO3xiJqEWXYIdZalDzHR,https://api.spotify.com/v1/audio-analysis/1mEO3xiJqEWXYIdZalDzHR,205453.0,4.0
Close To You,Dayglow,0.637,0.83,8.0,-7.222,0.0,0.0436,0.369,0.131,0.143,0.711,101.966,audio_features,1iJL69P6zSF5lGf961kC18,spotify:track:1iJL69P6zSF5lGf961kC18,https://api.spotify.com/v1/tracks/1iJL69P6zSF5lGf961kC18,https://api.spotify.com/v1/audio-analysis/1iJL69P6zSF5lGf961kC18,288613.0,4.0
Dreams - 2004 Remaster,Fleetwood Mac,0.652,0.746,8.0,-4.62,1.0,0.107,0.0177,0.00044,0.0734,0.894,165.861,audio_features,1T37rmthd8KPcRPcD5Tm7u,spotify:track:1T37rmthd8KPcRPcD5Tm7u,https://api.spotify.com/v1/tracks/1T37rmthd8KPcRPcD5Tm7u,https://api.spotify.com/v1/audio-analysis/1T37rmthd8KPcRPcD5Tm7u,228118.0,4.0
Daylight,Harry Styles,0.503,0.581,6.0,-7.007,1.0,0.0881,0.21,0.000708,0.257,0.633,94.555,audio_features,6ZzYETKetIfNUsZUb23jgG,spotify:track:6ZzYETKetIfNUsZUb23jgG,https://api.spotify.com/v1/tracks/6ZzYETKetIfNUsZUb23jgG,https://api.spotify.com/v1/audio-analysis/6ZzYETKetIfNUsZUb23jgG,233601.0,4.0
pink dress,Humble the Great,0.595,0.776,11.0,-5.772,0.0,0.0386,0.129,0.000602,0.246,0.933,92.881,audio_features,4A48ckONJNoXU5smWT9CeG,spotify:track:4A48ckONJNoXU5smWT9CeG,https://api.spotify.com/v1/tracks/4A48ckONJNoXU5smWT9CeG,https://api.spotify.com/v1/audio-analysis/4A48ckONJNoXU5smWT9CeG,146813.0,4.0
Coffee Shop,flowerovlove,0.927,0.525,8.0,-8.256,0.0,0.0667,0.274,0.238,0.0672,0.778,118.023,audio_features,1vMGIZbIkpaLSagdF2ygcV,spotify:track:1vMGIZbIkpaLSagdF2ygcV,https://api.spotify.com/v1/tracks/1vMGIZbIkpaLSagdF2ygcV,https://api.spotify.com/v1/audio-analysis/1vMGIZbIkpaLSagdF2ygcV,198305.0,4.0
Keep Moving,Jungle,0.675,0.92,0.0,-7.153,0.0,0.0539,0.0126,0.117,0.329,0.842,132.001,audio_features,0csz09qS2n8Jo7LogHKu7j,spotify:track:0csz09qS2n8Jo7LogHKu7j,https://api.spotify.com/v1/tracks/0csz09qS2n8Jo7LogHKu7j,https://api.spotify.com/v1/audio-analysis/0csz09qS2n8Jo7LogHKu7j,329280.0,4.0
Come With Me,"Surfaces, salem ilese",0.801,0.718,2.0,-7.357,1.0,0.0421,0.0932,0.0331,0.186,0.758,122.994,audio_features,4udjo5nLK61pKajakfrndc,spotify:track:4udjo5nLK61pKajakfrndc,https://api.spotify.com/v1/tracks/4udjo5nLK61pKajakfrndc,https://api.spotify.com/v1/audio-analysis/4udjo5nLK61pKajakfrndc,181747.0,4.0
Yesterday,Loyle Carner,0.603,0.786,11.0,-7.372,1.0,0.0576,0.174,0.0,0.04,0.763,99.997,audio_features,0zXhiHHnUzhCYd3ehnZEe5,spotify:track:0zXhiHHnUzhCYd3ehnZEe5,https://api.spotify.com/v1/tracks/0zXhiHHnUzhCYd3ehnZEe5,https://api.spotify.com/v1/audio-analysis/0zXhiHHnUzhCYd3ehnZEe5,272125.0,4.0
Woman,"Little Simz, Cleo Sol",0.686,0.682,6.0,-7.656,0.0,0.0459,0.0443,0.0131,0.43,0.854,84.985,audio_features,0T7aTl1t15HKHfwep4nANV,spotify:track:0T7aTl1t15HKHfwep4nANV,https://api.spotify.com/v1/tracks/0T7aTl1t15HKHfwep4nANV,https://api.spotify.com/v1/audio-analysis/0T7aTl1t15HKHfwep4nANV,192000.0,4.0
Sunny,Biig Piig,0.845,0.583,9.0,-5.948,0.0,0.0773,0.114,0.000536,0.1,0.842,149.941,audio_features,40rOlDoGejXXF4B0BYsjx8,spotify:track:40rOlDoGejXXF4B0BYsjx8,https://api.spotify.com/v1/tracks/40rOlDoGejXXF4B0BYsjx8,https://api.spotify.com/v1/audio-analysis/40rOlDoGejXXF4B0BYsjx8,200584.0,4.0
Both Of Us - Edit,Jayda G,0.67,0.895,11.0,-5.294,1.0,0.0352,0.0943,0.0322,0.305,0.897,118.002,audio_features,34Tmk8gwlRRegVVZDRxXxk,spotify:track:34Tmk8gwlRRegVVZDRxXxk,https://api.spotify.com/v1/tracks/34Tmk8gwlRRegVVZDRxXxk,https://api.spotify.com/v1/audio-analysis/34Tmk8gwlRRegVVZDRxXxk,235963.0,4.0
Sunday Morning,Hamzaa,0.707,0.763,2.0,-6.512,1.0,0.0915,0.0282,2.26e-06,0.102,0.827,159.976,audio_features,5cF53kSZ8g4YzZqHEJzR9o,spotify:track:5cF53kSZ8g4YzZqHEJzR9o,https://api.spotify.com/v1/tracks/5cF53kSZ8g4YzZqHEJzR9o,https://api.spotify.com/v1/audio-analysis/5cF53kSZ8g4YzZqHEJzR9o,108984.0,4.0
Mona Lisa,Dominic Fike,0.56,0.807,6.0,-6.665,1.0,0.0536,0.0229,0.00013,0.302,0.237,105.023,audio_features,79yGgP2ruLB7SavHhjPFI3,spotify:track:79yGgP2ruLB7SavHhjPFI3,https://api.spotify.com/v1/tracks/79yGgP2ruLB7SavHhjPFI3,https://api.spotify.com/v1/audio-analysis/79yGgP2ruLB7SavHhjPFI3,159616.0,4.0
"Sunflower, Vol. 6",Harry Styles,0.703,0.624,7.0,-6.228,1.0,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,audio_features,6IbCvfmmICEEAyDwQ9zcbt,spotify:track:6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/tracks/6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/audio-analysis/6IbCvfmmICEEAyDwQ9zcbt,195191.0,4.0
GOOD TIMES,Jungle,0.731,0.626,11.0,-6.919,1.0,0.0805,0.125,0.0,0.183,0.862,82.488,audio_features,1sx0XsWUusUoPstbvokZjP,spotify:track:1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/tracks/1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/audio-analysis/1sx0XsWUusUoPstbvokZjP,173640.0,4.0
Funny Thing,Thundercat,0.545,0.545,9.0,-7.362,1.0,0.107,0.667,5.48e-05,0.417,0.549,159.94,audio_features,3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516.0,3.0
peanut butter,easy life,0.953,0.782,2.0,-5.454,1.0,0.119,0.112,3.84e-05,0.076,0.96,115.005,audio_features,553yNvwJjHlHwDF4fA9ZUP,spotify:track:553yNvwJjHlHwDF4fA9ZUP,https://api.spotify.com/v1/tracks/553yNvwJjHlHwDF4fA9ZUP,https://api.spotify.com/v1/audio-analysis/553yNvwJjHlHwDF4fA9ZUP,220243.0,4.0
