name,artist,features
Best Worst Year,STRABE,"{'danceability': 0.703, 'energy': 0.704, 'key': 4, 'loudness': -9.42, 'mode': 1, 'speechiness': 0.0702, 'acousticness': 0.36, 'instrumentalness': 0.00996, 'liveness': 0.0942, 'valence': 0.609, 'tempo': 119.945, 'type': 'audio_features', 'id': '4mrMneeP6gYjDezM4tyxMD', 'uri': 'spotify:track:4mrMneeP6gYjDezM4tyxMD', 'track_href': 'https://api.spotify.com/v1/tracks/4mrMneeP6gYjDezM4tyxMD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4mrMneeP6gYjDezM4tyxMD', 'duration_ms': 278082, 'time_signature': 4}"
Feels Right,Biig Piig,"{'danceability': 0.811, 'energy': 0.452, 'key': 7, 'loudness': -8.676, 'mode': 1, 'speechiness': 0.115, 'acousticness': 0.162, 'instrumentalness': 0.00305, 'liveness': 0.12, 'valence': 0.556, 'tempo': 121.058, 'type': 'audio_features', 'id': '0BWBqb5XxraObLopqskk6D', 'uri': 'spotify:track:0BWBqb5XxraObLopqskk6D', 'track_href': 'https://api.spotify.com/v1/tracks/0BWBqb5XxraObLopqskk6D', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0BWBqb5XxraObLopqskk6D', 'duration_ms': 199006, 'time_signature': 4}"
daydreams,easy life,"{'danceability': 0.7, 'energy': 0.513, 'key': 0, 'loudness': -6.845, 'mode': 1, 'speechiness': 0.0698, 'acousticness': 0.684, 'instrumentalness': 5.23e-05, 'liveness': 0.249, 'valence': 0.637, 'tempo': 82.006, 'type': 'audio_features', 'id': '3XHjBo5wg5tvVugQRXkP0P', 'uri': 'spotify:track:3XHjBo5wg5tvVugQRXkP0P', 'track_href': 'https://api.spotify.com/v1/tracks/3XHjBo5wg5tvVugQRXkP0P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3XHjBo5wg5tvVugQRXkP0P', 'duration_ms': 155845, 'time_signature': 4}"
Home,Caribou,"{'danceability': 0.703, 'energy': 0.661, 'key': 7, 'loudness': -7.554, 'mode': 1, 'speechiness': 0.0787, 'acousticness': 0.0344, 'instrumentalness': 0.00932, 'liveness': 0.198, 'valence': 0.558, 'tempo': 97.012, 'type': 'audio_features', 'id': '6oEFRBgGkATGn8ZpQ0TTdl', 'uri': 'spotify:track:6oEFRBgGkATGn8ZpQ0TTdl', 'track_href': 'https://api.spotify.com/v1/tracks/6oEFRBgGkATGn8ZpQ0TTdl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6oEFRBgGkATGn8ZpQ0TTdl', 'duration_ms': 156293, 'time_signature': 4}"
Lose My Cool,Amber Mark,"{'danceability': 0.717, 'energy': 0.482, 'key': 3, 'loudness': -8.071, 'mode': 1, 'speechiness': 0.0465, 'acousticness': 0.564, 'instrumentalness': 0.000235, 'liveness': 0.0921, 'valence': 0.321, 'tempo': 103.006, 'type': 'audio_features', 'id': '3G9zeErd0kMx012kmYUrm7', 'uri': 'spotify:track:3G9zeErd0kMx012kmYUrm7', 'track_href': 'https://api.spotify.com/v1/tracks/3G9zeErd0kMx012kmYUrm7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3G9zeErd0kMx012kmYUrm7', 'duration_ms': 214578, 'time_signature': 4}"
Me & U,Tems,"{'danceability': 0.775, 'energy': 0.662, 'key': 10, 'loudness': -7.755, 'mode': 1, 'speechiness': 0.0408, 'acousticness': 0.117, 'instrumentalness': 0.0648, 'liveness': 0.0928, 'valence': 0.257, 'tempo': 112.014, 'type': 'audio_features', 'id': '4nFrcGM7MY1mpoQCC7Kefj', 'uri': 'spotify:track:4nFrcGM7MY1mpoQCC7Kefj', 'track_href': 'https://api.spotify.com/v1/tracks/4nFrcGM7MY1mpoQCC7Kefj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4nFrcGM7MY1mpoQCC7Kefj', 'duration_ms': 192936, 'time_signature': 4}"
Lost,Frank Ocean,"{'danceability': 0.913, 'energy': 0.603, 'key': 8, 'loudness': -4.892, 'mode': 1, 'speechiness': 0.226, 'acousticness': 0.0272, 'instrumentalness': 0.000503, 'liveness': 0.167, 'valence': 0.497, 'tempo': 123.061, 'type': 'audio_features', 'id': '3GZD6HmiNUhxXYf8Gch723', 'uri': 'spotify:track:3GZD6HmiNUhxXYf8Gch723', 'track_href': 'https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723', 'duration_ms': 234093, 'time_signature': 4}"
All I Need,Jake Bugg,"{'danceability': 0.5, 'energy': 0.732, 'key': 5, 'loudness': -3.578, 'mode': 0, 'speechiness': 0.0418, 'acousticness': 0.000397, 'instrumentalness': 0.0554, 'liveness': 0.0759, 'valence': 0.637, 'tempo': 169.9, 'type': 'audio_features', 'id': '3aMyQSDW0DJ7LTOkrd29hU', 'uri': 'spotify:track:3aMyQSDW0DJ7LTOkrd29hU', 'track_href': 'https://api.spotify.com/v1/tracks/3aMyQSDW0DJ7LTOkrd29hU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3aMyQSDW0DJ7LTOkrd29hU', 'duration_ms': 216218, 'time_signature': 4}"
Pineapple Sunrise,Beach Weather,"{'danceability': 0.692, 'energy': 0.787, 'key': 4, 'loudness': -5.588, 'mode': 0, 'speechiness': 0.0305, 'acousticness': 0.0576, 'instrumentalness': 0, 'liveness': 0.238, 'valence': 0.919, 'tempo': 120.016, 'type': 'audio_features', 'id': '5L5n7lyXiTR2soMhCQel6n', 'uri': 'spotify:track:5L5n7lyXiTR2soMhCQel6n', 'track_href': 'https://api.spotify.com/v1/tracks/5L5n7lyXiTR2soMhCQel6n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5L5n7lyXiTR2soMhCQel6n', 'duration_ms': 176349, 'time_signature': 4}"
Light On,Maggie Rogers,"{'danceability': 0.657, 'energy': 0.569, 'key': 2, 'loudness': -6.287, 'mode': 1, 'speechiness': 0.0542, 'acousticness': 0.201, 'instrumentalness': 1.38e-05, 'liveness': 0.126, 'valence': 0.399, 'tempo': 102.054, 'type': 'audio_features', 'id': '6UnCGAEmrbGIOSmGRZQ1M2', 'uri': 'spotify:track:6UnCGAEmrbGIOSmGRZQ1M2', 'track_href': 'https://api.spotify.com/v1/tracks/6UnCGAEmrbGIOSmGRZQ1M2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6UnCGAEmrbGIOSmGRZQ1M2', 'duration_ms': 233880, 'time_signature': 4}"
