name,artist,features
My Number,Foals,"{'danceability': 0.639, 'energy': 0.715, 'key': 6, 'loudness': -8.954, 'mode': 0, 'speechiness': 0.0392, 'acousticness': 0.0243, 'instrumentalness': 0.000552, 'liveness': 0.619, 'valence': 0.813, 'tempo': 128.072, 'type': 'audio_features', 'id': '04caEZhAsQKnWqKsMwk9ud', 'uri': 'spotify:track:04caEZhAsQKnWqKsMwk9ud', 'track_href': 'https://api.spotify.com/v1/tracks/04caEZhAsQKnWqKsMwk9ud', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/04caEZhAsQKnWqKsMwk9ud', 'duration_ms': 238853, 'time_signature': 4}"
Somebody Else,The 1975,"{'danceability': 0.61, 'energy': 0.788, 'key': 0, 'loudness': -5.724, 'mode': 1, 'speechiness': 0.0585, 'acousticness': 0.195, 'instrumentalness': 0.0142, 'liveness': 0.153, 'valence': 0.472, 'tempo': 101.045, 'type': 'audio_features', 'id': '5hc71nKsUgtwQ3z52KEKQk', 'uri': 'spotify:track:5hc71nKsUgtwQ3z52KEKQk', 'track_href': 'https://api.spotify.com/v1/tracks/5hc71nKsUgtwQ3z52KEKQk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hc71nKsUgtwQ3z52KEKQk', 'duration_ms': 347520, 'time_signature': 4}"
Someday,The Strokes,"{'danceability': 0.539, 'energy': 0.521, 'key': 9, 'loudness': -7.46, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.00425, 'instrumentalness': 0, 'liveness': 0.367, 'valence': 0.679, 'tempo': 106.035, 'type': 'audio_features', 'id': '7hm4HTk9encxT0LYC0J6oI', 'uri': 'spotify:track:7hm4HTk9encxT0LYC0J6oI', 'track_href': 'https://api.spotify.com/v1/tracks/7hm4HTk9encxT0LYC0J6oI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hm4HTk9encxT0LYC0J6oI', 'duration_ms': 183440, 'time_signature': 4}"
Sometimes,Gerry Cinnamon,"{'danceability': 0.639, 'energy': 0.699, 'key': 9, 'loudness': -6.736, 'mode': 1, 'speechiness': 0.0304, 'acousticness': 0.021, 'instrumentalness': 0, 'liveness': 0.0739, 'valence': 0.959, 'tempo': 150.01, 'type': 'audio_features', 'id': '58dwGk4l4ju8pI9YWsTHWD', 'uri': 'spotify:track:58dwGk4l4ju8pI9YWsTHWD', 'track_href': 'https://api.spotify.com/v1/tracks/58dwGk4l4ju8pI9YWsTHWD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/58dwGk4l4ju8pI9YWsTHWD', 'duration_ms': 196600, 'time_signature': 4}"
A-Punk,Vampire Weekend,"{'danceability': 0.551, 'energy': 0.819, 'key': 2, 'loudness': -4.489, 'mode': 1, 'speechiness': 0.0525, 'acousticness': 0.0103, 'instrumentalness': 0.0437, 'liveness': 0.153, 'valence': 0.846, 'tempo': 174.917, 'type': 'audio_features', 'id': '3AydAydLzyyZutA0375XIz', 'uri': 'spotify:track:3AydAydLzyyZutA0375XIz', 'track_href': 'https://api.spotify.com/v1/tracks/3AydAydLzyyZutA0375XIz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3AydAydLzyyZutA0375XIz', 'duration_ms': 137760, 'time_signature': 4}"
Take a Walk,Passion Pit,"{'danceability': 0.566, 'energy': 0.755, 'key': 11, 'loudness': -5.526, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.0338, 'instrumentalness': 0, 'liveness': 0.315, 'valence': 0.445, 'tempo': 101.006, 'type': 'audio_features', 'id': '4Sfa7hdVkqlM8UW5LsSY3F', 'uri': 'spotify:track:4Sfa7hdVkqlM8UW5LsSY3F', 'track_href': 'https://api.spotify.com/v1/tracks/4Sfa7hdVkqlM8UW5LsSY3F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Sfa7hdVkqlM8UW5LsSY3F', 'duration_ms': 264493, 'time_signature': 4}"
Girls & Boys,Blur,"{'danceability': 0.693, 'energy': 0.875, 'key': 7, 'loudness': -8.354, 'mode': 0, 'speechiness': 0.0315, 'acousticness': 0.00986, 'instrumentalness': 0, 'liveness': 0.0601, 'valence': 0.899, 'tempo': 120.048, 'type': 'audio_features', 'id': '5CeL9C3bsoe4yzYS1Qz8cw', 'uri': 'spotify:track:5CeL9C3bsoe4yzYS1Qz8cw', 'track_href': 'https://api.spotify.com/v1/tracks/5CeL9C3bsoe4yzYS1Qz8cw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5CeL9C3bsoe4yzYS1Qz8cw', 'duration_ms': 259387, 'time_signature': 4}"
Undercover Martyn,Two Door Cinema Club,"{'danceability': 0.454, 'energy': 0.873, 'key': 2, 'loudness': -5.072, 'mode': 1, 'speechiness': 0.122, 'acousticness': 0.000244, 'instrumentalness': 1.73e-05, 'liveness': 0.0847, 'valence': 0.562, 'tempo': 159.814, 'type': 'audio_features', 'id': '0bePGTDjn0XuEKoN7rOMvV', 'uri': 'spotify:track:0bePGTDjn0XuEKoN7rOMvV', 'track_href': 'https://api.spotify.com/v1/tracks/0bePGTDjn0XuEKoN7rOMvV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0bePGTDjn0XuEKoN7rOMvV', 'duration_ms': 167773, 'time_signature': 4}"
Seventeen Going Under,Sam Fender,"{'danceability': 0.48, 'energy': 0.87, 'key': 1, 'loudness': -4.792, 'mode': 1, 'speechiness': 0.0362, 'acousticness': 0.00438, 'instrumentalness': 0.00603, 'liveness': 0.0826, 'valence': 0.584, 'tempo': 161.953, 'type': 'audio_features', 'id': '5rF6YUIlgiat22OT1lWspJ', 'uri': 'spotify:track:5rF6YUIlgiat22OT1lWspJ', 'track_href': 'https://api.spotify.com/v1/tracks/5rF6YUIlgiat22OT1lWspJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5rF6YUIlgiat22OT1lWspJ', 'duration_ms': 297933, 'time_signature': 4}"
Mountain at My Gates,Foals,"{'danceability': 0.495, 'energy': 0.931, 'key': 2, 'loudness': -5.336, 'mode': 0, 'speechiness': 0.0469, 'acousticness': 0.0025, 'instrumentalness': 0.0819, 'liveness': 0.246, 'valence': 0.617, 'tempo': 104.05, 'type': 'audio_features', 'id': '3f7OyfSoDbQC0LRDQiytPp', 'uri': 'spotify:track:3f7OyfSoDbQC0LRDQiytPp', 'track_href': 'https://api.spotify.com/v1/tracks/3f7OyfSoDbQC0LRDQiytPp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3f7OyfSoDbQC0LRDQiytPp', 'duration_ms': 244293, 'time_signature': 4}"
