name,artist,features
Cheating on You,Charlie Puth,"{'danceability': 0.749, 'energy': 0.535, 'key': 4, 'loudness': -6.785, 'mode': 1, 'speechiness': 0.0336, 'acousticness': 0.0131, 'instrumentalness': 3.65e-05, 'liveness': 0.0982, 'valence': 0.601, 'tempo': 123.042, 'type': 'audio_features', 'id': '0ClPIeT6MSgfSgQ9ZrJbAq', 'uri': 'spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq', 'track_href': 'https://api.spotify.com/v1/tracks/0ClPIeT6MSgfSgQ9ZrJbAq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ClPIeT6MSgfSgQ9ZrJbAq', 'duration_ms': 196607, 'time_signature': 4}"
Glimpse of Us,Joji,"{'danceability': 0.44, 'energy': 0.317, 'key': 8, 'loudness': -9.258, 'mode': 1, 'speechiness': 0.0531, 'acousticness': 0.891, 'instrumentalness': 4.78e-06, 'liveness': 0.141, 'valence': 0.268, 'tempo': 169.914, 'type': 'audio_features', 'id': '6xGruZOHLs39ZbVccQTuPZ', 'uri': 'spotify:track:6xGruZOHLs39ZbVccQTuPZ', 'track_href': 'https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ', 'duration_ms': 233456, 'time_signature': 3}"
Daylight,David Kushner,"{'danceability': 0.508, 'energy': 0.43, 'key': 2, 'loudness': -9.475, 'mode': 0, 'speechiness': 0.0335, 'acousticness': 0.83, 'instrumentalness': 0.000441, 'liveness': 0.093, 'valence': 0.324, 'tempo': 130.09, 'type': 'audio_features', 'id': '1odExI7RdWc4BT515LTAwj', 'uri': 'spotify:track:1odExI7RdWc4BT515LTAwj', 'track_href': 'https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj', 'duration_ms': 212954, 'time_signature': 4}"
this is how you fall in love,"Jeremy Zucker, Chelsea Cutler","{'danceability': 0.441, 'energy': 0.202, 'key': 7, 'loudness': -12.499, 'mode': 1, 'speechiness': 0.0381, 'acousticness': 0.732, 'instrumentalness': 2.6e-05, 'liveness': 0.126, 'valence': 0.269, 'tempo': 77.971, 'type': 'audio_features', 'id': '1aEsTgCsv8nOjEgyEoRCpS', 'uri': 'spotify:track:1aEsTgCsv8nOjEgyEoRCpS', 'track_href': 'https://api.spotify.com/v1/tracks/1aEsTgCsv8nOjEgyEoRCpS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1aEsTgCsv8nOjEgyEoRCpS', 'duration_ms': 174587, 'time_signature': 4}"
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves","{'danceability': 0.429, 'energy': 0.453, 'key': 0, 'loudness': -7.746, 'mode': 1, 'speechiness': 0.0459, 'acousticness': 0.554, 'instrumentalness': 2e-06, 'liveness': 0.102, 'valence': 0.155, 'tempo': 77.639, 'type': 'audio_features', 'id': '4KULAymBBJcPRpk1yO4dOG', 'uri': 'spotify:track:4KULAymBBJcPRpk1yO4dOG', 'track_href': 'https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG', 'duration_ms': 227196, 'time_signature': 4}"
Moon,Kanye West,"{'danceability': 0.319, 'energy': 0.236, 'key': 5, 'loudness': -9.644, 'mode': 1, 'speechiness': 0.0318, 'acousticness': 0.898, 'instrumentalness': 1.62e-05, 'liveness': 0.272, 'valence': 0.254, 'tempo': 162.351, 'type': 'audio_features', 'id': '7CC6UbCs4iGsePSzFxYxNn', 'uri': 'spotify:track:7CC6UbCs4iGsePSzFxYxNn', 'track_href': 'https://api.spotify.com/v1/tracks/7CC6UbCs4iGsePSzFxYxNn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7CC6UbCs4iGsePSzFxYxNn', 'duration_ms': 156091, 'time_signature': 4}"
Water,Tyla,"{'danceability': 0.673, 'energy': 0.722, 'key': 3, 'loudness': -3.495, 'mode': 0, 'speechiness': 0.0755, 'acousticness': 0.0856, 'instrumentalness': 0, 'liveness': 0.137, 'valence': 0.519, 'tempo': 117.187, 'type': 'audio_features', 'id': '5aIVCx5tnk0ntmdiinnYvw', 'uri': 'spotify:track:5aIVCx5tnk0ntmdiinnYvw', 'track_href': 'https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw', 'duration_ms': 200256, 'time_signature': 4}"
Say Yes To Heaven,Lana Del Rey,"{'danceability': 0.49, 'energy': 0.352, 'key': 6, 'loudness': -11.577, 'mode': 0, 'speechiness': 0.0254, 'acousticness': 0.709, 'instrumentalness': 0.0856, 'liveness': 0.114, 'valence': 0.166, 'tempo': 99.992, 'type': 'audio_features', 'id': '6GGtHZgBycCgGBUhZo81xe', 'uri': 'spotify:track:6GGtHZgBycCgGBUhZo81xe', 'track_href': 'https://api.spotify.com/v1/tracks/6GGtHZgBycCgGBUhZo81xe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6GGtHZgBycCgGBUhZo81xe', 'duration_ms': 209156, 'time_signature': 4}"
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,"{'danceability': 0.247, 'energy': 0.299, 'key': 9, 'loudness': -6.083, 'mode': 1, 'speechiness': 0.0315, 'acousticness': 0.899, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.172, 'tempo': 177.115, 'type': 'audio_features', 'id': '35ovElsgyAtQwYPYnZJECg', 'uri': 'spotify:track:35ovElsgyAtQwYPYnZJECg', 'track_href': 'https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg', 'duration_ms': 196520, 'time_signature': 4}"
Thousand Miles,The Kid LAROI,"{'danceability': 0.376, 'energy': 0.657, 'key': 7, 'loudness': -4.658, 'mode': 1, 'speechiness': 0.0768, 'acousticness': 0.0858, 'instrumentalness': 0, 'liveness': 0.0884, 'valence': 0.203, 'tempo': 80.565, 'type': 'audio_features', 'id': '1r8ZCjfrQxoy2wVaBUbpwg', 'uri': 'spotify:track:1r8ZCjfrQxoy2wVaBUbpwg', 'track_href': 'https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg', 'duration_ms': 164782, 'time_signature': 4}"
positions,Ariana Grande,"{'danceability': 0.737, 'energy': 0.802, 'key': 0, 'loudness': -4.771, 'mode': 1, 'speechiness': 0.0878, 'acousticness': 0.468, 'instrumentalness': 0, 'liveness': 0.0931, 'valence': 0.682, 'tempo': 144.015, 'type': 'audio_features', 'id': '35mvY5S1H3J2QZyna3TFe0', 'uri': 'spotify:track:35mvY5S1H3J2QZyna3TFe0', 'track_href': 'https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0', 'duration_ms': 172325, 'time_signature': 4}"
One Of Your Girls,Troye Sivan,"{'danceability': 0.637, 'energy': 0.639, 'key': 11, 'loudness': -7.832, 'mode': 0, 'speechiness': 0.0542, 'acousticness': 0.0926, 'instrumentalness': 0.00503, 'liveness': 0.223, 'valence': 0.81, 'tempo': 92.987, 'type': 'audio_features', 'id': '1Fav4xZn60uGM3XmiHJmvT', 'uri': 'spotify:track:1Fav4xZn60uGM3XmiHJmvT', 'track_href': 'https://api.spotify.com/v1/tracks/1Fav4xZn60uGM3XmiHJmvT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Fav4xZn60uGM3XmiHJmvT', 'duration_ms': 181482, 'time_signature': 4}"
Trust Me Mate,Dean Lewis,"{'danceability': 0.529, 'energy': 0.591, 'key': 0, 'loudness': -4.223, 'mode': 1, 'speechiness': 0.034, 'acousticness': 0.599, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.27, 'tempo': 97.742, 'type': 'audio_features', 'id': '2wWX4sZGZNc7lA594ZOhP7', 'uri': 'spotify:track:2wWX4sZGZNc7lA594ZOhP7', 'track_href': 'https://api.spotify.com/v1/tracks/2wWX4sZGZNc7lA594ZOhP7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2wWX4sZGZNc7lA594ZOhP7', 'duration_ms': 178409, 'time_signature': 4}"
Happiest Year,Jaymes Young,"{'danceability': 0.502, 'energy': 0.168, 'key': 1, 'loudness': -14.061, 'mode': 1, 'speechiness': 0.0486, 'acousticness': 0.885, 'instrumentalness': 0, 'liveness': 0.111, 'valence': 0.355, 'tempo': 112.881, 'type': 'audio_features', 'id': '219slQu3ALbTSAe9P22hvE', 'uri': 'spotify:track:219slQu3ALbTSAe9P22hvE', 'track_href': 'https://api.spotify.com/v1/tracks/219slQu3ALbTSAe9P22hvE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/219slQu3ALbTSAe9P22hvE', 'duration_ms': 228443, 'time_signature': 3}"
Used To Be Young,Miley Cyrus,"{'danceability': 0.451, 'energy': 0.632, 'key': 4, 'loudness': -3.843, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 0.6, 'instrumentalness': 0, 'liveness': 0.139, 'valence': 0.455, 'tempo': 147.06, 'type': 'audio_features', 'id': '41WQUSINanQHfhfKpFDsms', 'uri': 'spotify:track:41WQUSINanQHfhfKpFDsms', 'track_href': 'https://api.spotify.com/v1/tracks/41WQUSINanQHfhfKpFDsms', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/41WQUSINanQHfhfKpFDsms', 'duration_ms': 190461, 'time_signature': 4}"
Calling My Phone,"Lil Tjay, 6LACK","{'danceability': 0.907, 'energy': 0.393, 'key': 4, 'loudness': -7.636, 'mode': 0, 'speechiness': 0.0539, 'acousticness': 0.451, 'instrumentalness': 1.35e-06, 'liveness': 0.135, 'valence': 0.202, 'tempo': 104.949, 'type': 'audio_features', 'id': '3J8EOeKLTLXORtWPpOU5bE', 'uri': 'spotify:track:3J8EOeKLTLXORtWPpOU5bE', 'track_href': 'https://api.spotify.com/v1/tracks/3J8EOeKLTLXORtWPpOU5bE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3J8EOeKLTLXORtWPpOU5bE', 'duration_ms': 205458, 'time_signature': 4}"
Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay","{'danceability': 0.48, 'energy': 0.602, 'key': 10, 'loudness': -6.335, 'mode': 0, 'speechiness': 0.368, 'acousticness': 0.487, 'instrumentalness': 0, 'liveness': 0.0848, 'valence': 0.269, 'tempo': 179.798, 'type': 'audio_features', 'id': '5rZlwNFl01HqLWBQGryKSm', 'uri': 'spotify:track:5rZlwNFl01HqLWBQGryKSm', 'track_href': 'https://api.spotify.com/v1/tracks/5rZlwNFl01HqLWBQGryKSm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5rZlwNFl01HqLWBQGryKSm', 'duration_ms': 213333, 'time_signature': 4}"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"{'danceability': 0.444, 'energy': 0.0911, 'key': 0, 'loudness': -17.665, 'mode': 1, 'speechiness': 0.0307, 'acousticness': 0.959, 'instrumentalness': 1.05e-06, 'liveness': 0.098, 'valence': 0.142, 'tempo': 78.403, 'type': 'audio_features', 'id': '6wf7Yu7cxBSPrRlWeSeK0Q', 'uri': 'spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q', 'track_href': 'https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q', 'duration_ms': 222370, 'time_signature': 4}"
Before You Go,Lewis Capaldi,"{'danceability': 0.459, 'energy': 0.575, 'key': 3, 'loudness': -4.858, 'mode': 1, 'speechiness': 0.0573, 'acousticness': 0.604, 'instrumentalness': 0, 'liveness': 0.0885, 'valence': 0.183, 'tempo': 111.881, 'type': 'audio_features', 'id': '7ce20yLkzuXXLUhzIDoZih', 'uri': 'spotify:track:7ce20yLkzuXXLUhzIDoZih', 'track_href': 'https://api.spotify.com/v1/tracks/7ce20yLkzuXXLUhzIDoZih', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ce20yLkzuXXLUhzIDoZih', 'duration_ms': 215107, 'time_signature': 4}"
Kiss Me More (feat. SZA),"Doja Cat, SZA","{'danceability': 0.762, 'energy': 0.701, 'key': 8, 'loudness': -3.541, 'mode': 1, 'speechiness': 0.0286, 'acousticness': 0.235, 'instrumentalness': 0.000158, 'liveness': 0.123, 'valence': 0.742, 'tempo': 110.968, 'type': 'audio_features', 'id': '748mdHapucXQri7IAO8yFK', 'uri': 'spotify:track:748mdHapucXQri7IAO8yFK', 'track_href': 'https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK', 'duration_ms': 208867, 'time_signature': 4}"
willow,Taylor Swift,"{'danceability': 0.392, 'energy': 0.574, 'key': 7, 'loudness': -9.195, 'mode': 1, 'speechiness': 0.17, 'acousticness': 0.833, 'instrumentalness': 0.00179, 'liveness': 0.145, 'valence': 0.529, 'tempo': 81.112, 'type': 'audio_features', 'id': '0lx2cLdOt3piJbcaXIV74f', 'uri': 'spotify:track:0lx2cLdOt3piJbcaXIV74f', 'track_href': 'https://api.spotify.com/v1/tracks/0lx2cLdOt3piJbcaXIV74f', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0lx2cLdOt3piJbcaXIV74f', 'duration_ms': 214707, 'time_signature': 4}"
Easy On Me,Adele,"{'danceability': 0.604, 'energy': 0.366, 'key': 5, 'loudness': -7.519, 'mode': 1, 'speechiness': 0.0282, 'acousticness': 0.578, 'instrumentalness': 0, 'liveness': 0.133, 'valence': 0.13, 'tempo': 141.981, 'type': 'audio_features', 'id': '0gplL1WMoJ6iYaPgMCL0gX', 'uri': 'spotify:track:0gplL1WMoJ6iYaPgMCL0gX', 'track_href': 'https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX', 'duration_ms': 224695, 'time_signature': 4}"
People,Libianca,"{'danceability': 0.573, 'energy': 0.422, 'key': 10, 'loudness': -7.621, 'mode': 0, 'speechiness': 0.0678, 'acousticness': 0.551, 'instrumentalness': 1.31e-05, 'liveness': 0.102, 'valence': 0.693, 'tempo': 124.357, 'type': 'audio_features', 'id': '26b3oVLrRUaaybJulow9kz', 'uri': 'spotify:track:26b3oVLrRUaaybJulow9kz', 'track_href': 'https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz', 'duration_ms': 184791, 'time_signature': 5}"
Still Don't Know My Name,Labrinth,"{'danceability': 0.316, 'energy': 0.63, 'key': 5, 'loudness': -5.963, 'mode': 1, 'speechiness': 0.117, 'acousticness': 0.471, 'instrumentalness': 0.262, 'liveness': 0.205, 'valence': 0.313, 'tempo': 89.643, 'type': 'audio_features', 'id': '6N22FZs2ZhPBYi3b9XPajV', 'uri': 'spotify:track:6N22FZs2ZhPBYi3b9XPajV', 'track_href': 'https://api.spotify.com/v1/tracks/6N22FZs2ZhPBYi3b9XPajV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6N22FZs2ZhPBYi3b9XPajV', 'duration_ms': 153294, 'time_signature': 1}"
July (feat. Leon Bridges),"Noah Cyrus, Leon Bridges","{'danceability': 0.708, 'energy': 0.211, 'key': 9, 'loudness': -9.603, 'mode': 0, 'speechiness': 0.0424, 'acousticness': 0.853, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.362, 'tempo': 72.5, 'type': 'audio_features', 'id': '3V0nnQhqvbE3JmiDdnzQFQ', 'uri': 'spotify:track:3V0nnQhqvbE3JmiDdnzQFQ', 'track_href': 'https://api.spotify.com/v1/tracks/3V0nnQhqvbE3JmiDdnzQFQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3V0nnQhqvbE3JmiDdnzQFQ', 'duration_ms': 152280, 'time_signature': 4}"
