name,artist,features
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto","{'danceability': 0.79, 'energy': 0.831, 'key': 11, 'loudness': -4.185, 'mode': 1, 'speechiness': 0.044, 'acousticness': 0.312, 'instrumentalness': 0, 'liveness': 0.0797, 'valence': 0.872, 'tempo': 124.987, 'type': 'audio_features', 'id': '2HRgqmZQC0MC7GeNuDIXHN', 'uri': 'spotify:track:2HRgqmZQC0MC7GeNuDIXHN', 'track_href': 'https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN', 'duration_ms': 183551, 'time_signature': 4}"
Santa Tell Me,Ariana Grande,"{'danceability': 0.525, 'energy': 0.621, 'key': 7, 'loudness': -7.364, 'mode': 1, 'speechiness': 0.116, 'acousticness': 0.0489, 'instrumentalness': 0, 'liveness': 0.294, 'valence': 0.591, 'tempo': 191.9, 'type': 'audio_features', 'id': '0lizgQ7Qw35od7CYaoMBZb', 'uri': 'spotify:track:0lizgQ7Qw35od7CYaoMBZb', 'track_href': 'https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb', 'duration_ms': 204093, 'time_signature': 4}"
I Wanna Be Yours,Arctic Monkeys,"{'danceability': 0.464, 'energy': 0.417, 'key': 0, 'loudness': -9.345, 'mode': 0, 'speechiness': 0.0256, 'acousticness': 0.136, 'instrumentalness': 0.022, 'liveness': 0.0974, 'valence': 0.479, 'tempo': 67.528, 'type': 'audio_features', 'id': '5XeFesFbtLpXzIVDNQP22n', 'uri': 'spotify:track:5XeFesFbtLpXzIVDNQP22n', 'track_href': 'https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n', 'duration_ms': 183956, 'time_signature': 4}"
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow","{'danceability': 0.853, 'energy': 0.824, 'key': 1, 'loudness': -3.287, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.0322, 'instrumentalness': 0, 'liveness': 0.0859, 'valence': 0.888, 'tempo': 108.044, 'type': 'audio_features', 'id': '01qFKNWq73UfEslI0GvumE', 'uri': 'spotify:track:01qFKNWq73UfEslI0GvumE', 'track_href': 'https://api.spotify.com/v1/tracks/01qFKNWq73UfEslI0GvumE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/01qFKNWq73UfEslI0GvumE', 'duration_ms': 201812, 'time_signature': 4}"
MONACO,Bad Bunny,"{'danceability': 0.787, 'energy': 0.621, 'key': 4, 'loudness': -5.009, 'mode': 0, 'speechiness': 0.068, 'acousticness': 0.15, 'instrumentalness': 0.000402, 'liveness': 0.58, 'valence': 0.13, 'tempo': 139.056, 'type': 'audio_features', 'id': '4MjDJD8cW7iVeWInc2Bdyj', 'uri': 'spotify:track:4MjDJD8cW7iVeWInc2Bdyj', 'track_href': 'https://api.spotify.com/v1/tracks/4MjDJD8cW7iVeWInc2Bdyj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4MjDJD8cW7iVeWInc2Bdyj', 'duration_ms': 267194, 'time_signature': 4}"
It's the Most Wonderful Time of the Year,Andy Williams,"{'danceability': 0.234, 'energy': 0.526, 'key': 2, 'loudness': -11.656, 'mode': 1, 'speechiness': 0.0411, 'acousticness': 0.871, 'instrumentalness': 2.34e-06, 'liveness': 0.122, 'valence': 0.649, 'tempo': 201.739, 'type': 'audio_features', 'id': '1IcR6RlgvDczfvoWJSSY2A', 'uri': 'spotify:track:1IcR6RlgvDczfvoWJSSY2A', 'track_href': 'https://api.spotify.com/v1/tracks/1IcR6RlgvDczfvoWJSSY2A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1IcR6RlgvDczfvoWJSSY2A', 'duration_ms': 151000, 'time_signature': 3}"
Water,Tyla,"{'danceability': 0.673, 'energy': 0.722, 'key': 3, 'loudness': -3.495, 'mode': 0, 'speechiness': 0.0755, 'acousticness': 0.0856, 'instrumentalness': 0, 'liveness': 0.137, 'valence': 0.519, 'tempo': 117.187, 'type': 'audio_features', 'id': '5aIVCx5tnk0ntmdiinnYvw', 'uri': 'spotify:track:5aIVCx5tnk0ntmdiinnYvw', 'track_href': 'https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw', 'duration_ms': 200256, 'time_signature': 4}"
Mistletoe,Justin Bieber,"{'danceability': 0.657, 'energy': 0.56, 'key': 6, 'loudness': -9.049, 'mode': 0, 'speechiness': 0.0467, 'acousticness': 0.498, 'instrumentalness': 0, 'liveness': 0.0794, 'valence': 0.854, 'tempo': 161.993, 'type': 'audio_features', 'id': '7xapw9Oy21WpfEcib2ErSA', 'uri': 'spotify:track:7xapw9Oy21WpfEcib2ErSA', 'track_href': 'https://api.spotify.com/v1/tracks/7xapw9Oy21WpfEcib2ErSA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7xapw9Oy21WpfEcib2ErSA', 'duration_ms': 182947, 'time_signature': 4}"
My Love Mine All Mine,Mitski,"{'danceability': 0.504, 'energy': 0.308, 'key': 9, 'loudness': -14.958, 'mode': 1, 'speechiness': 0.0321, 'acousticness': 0.868, 'instrumentalness': 0.135, 'liveness': 0.158, 'valence': 0.121, 'tempo': 113.95, 'type': 'audio_features', 'id': '3vkCueOmm7xQDoJ17W1Pm3', 'uri': 'spotify:track:3vkCueOmm7xQDoJ17W1Pm3', 'track_href': 'https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3', 'duration_ms': 137773, 'time_signature': 4}"
Houdini,Dua Lipa,"{'danceability': 0.744, 'energy': 0.789, 'key': 9, 'loudness': -4.876, 'mode': 0, 'speechiness': 0.059, 'acousticness': 0.0036, 'instrumentalness': 0.00144, 'liveness': 0.0947, 'valence': 0.866, 'tempo': 116.985, 'type': 'audio_features', 'id': '4OMJGnvZfDvsePyCwRGO7X', 'uri': 'spotify:track:4OMJGnvZfDvsePyCwRGO7X', 'track_href': 'https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X', 'duration_ms': 185918, 'time_signature': 4}"
Cruel Summer,Taylor Swift,"{'danceability': 0.552, 'energy': 0.702, 'key': 9, 'loudness': -5.707, 'mode': 1, 'speechiness': 0.157, 'acousticness': 0.117, 'instrumentalness': 2.06e-05, 'liveness': 0.105, 'valence': 0.564, 'tempo': 169.994, 'type': 'audio_features', 'id': '1BxfuPKGuaTgP7aM0Bbdwr', 'uri': 'spotify:track:1BxfuPKGuaTgP7aM0Bbdwr', 'track_href': 'https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr', 'duration_ms': 178427, 'time_signature': 4}"
As It Was,Harry Styles,"{'danceability': 0.52, 'energy': 0.731, 'key': 6, 'loudness': -5.338, 'mode': 0, 'speechiness': 0.0557, 'acousticness': 0.342, 'instrumentalness': 0.00101, 'liveness': 0.311, 'valence': 0.662, 'tempo': 173.93, 'type': 'audio_features', 'id': '4Dvkj6JhhA12EX05fT7y2e', 'uri': 'spotify:track:4Dvkj6JhhA12EX05fT7y2e', 'track_href': 'https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e', 'duration_ms': 167303, 'time_signature': 4}"
Agora Hills,Doja Cat,"{'danceability': 0.755, 'energy': 0.687, 'key': 8, 'loudness': -6.247, 'mode': 0, 'speechiness': 0.101, 'acousticness': 0.183, 'instrumentalness': 0.000177, 'liveness': 0.125, 'valence': 0.381, 'tempo': 123.01, 'type': 'audio_features', 'id': '5PyDJG7SQRgWXefgexqIge', 'uri': 'spotify:track:5PyDJG7SQRgWXefgexqIge', 'track_href': 'https://api.spotify.com/v1/tracks/5PyDJG7SQRgWXefgexqIge', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5PyDJG7SQRgWXefgexqIge', 'duration_ms': 265360, 'time_signature': 4}"
Si No Estás,iñigo quintero,"{'danceability': 0.537, 'energy': 0.421, 'key': 5, 'loudness': -8.72, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.827, 'instrumentalness': 0, 'liveness': 0.138, 'valence': 0.524, 'tempo': 98.224, 'type': 'audio_features', 'id': '2HafqoJbgXdtjwCOvNEF14', 'uri': 'spotify:track:2HafqoJbgXdtjwCOvNEF14', 'track_href': 'https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14', 'duration_ms': 184061, 'time_signature': 4}"
Paint The Town Red,Doja Cat,"{'danceability': 0.864, 'energy': 0.556, 'key': 2, 'loudness': -7.683, 'mode': 0, 'speechiness': 0.194, 'acousticness': 0.255, 'instrumentalness': 3.85e-06, 'liveness': 0.112, 'valence': 0.726, 'tempo': 99.974, 'type': 'audio_features', 'id': '56y1jOTK0XSvJzVv9vHQBK', 'uri': 'spotify:track:56y1jOTK0XSvJzVv9vHQBK', 'track_href': 'https://api.spotify.com/v1/tracks/56y1jOTK0XSvJzVv9vHQBK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/56y1jOTK0XSvJzVv9vHQBK', 'duration_ms': 230480, 'time_signature': 4}"
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,"{'danceability': 0.518, 'energy': 0.368, 'key': 11, 'loudness': -7.76, 'mode': 0, 'speechiness': 0.0353, 'acousticness': 0.855, 'instrumentalness': 4.9e-06, 'liveness': 0.119, 'valence': 0.234, 'tempo': 141.934, 'type': 'audio_features', 'id': '17cia5k4BpGVlyEfqrFH50', 'uri': 'spotify:track:17cia5k4BpGVlyEfqrFH50', 'track_href': 'https://api.spotify.com/v1/tracks/17cia5k4BpGVlyEfqrFH50', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/17cia5k4BpGVlyEfqrFH50', 'duration_ms': 205484, 'time_signature': 4}"
Underneath the Tree,Kelly Clarkson,"{'danceability': 0.509, 'energy': 0.812, 'key': 8, 'loudness': -5.439, 'mode': 1, 'speechiness': 0.0537, 'acousticness': 0.00128, 'instrumentalness': 1.99e-05, 'liveness': 0.214, 'valence': 0.689, 'tempo': 159.878, 'type': 'audio_features', 'id': '3YZE5qDV7u1ZD1gZc47ZeR', 'uri': 'spotify:track:3YZE5qDV7u1ZD1gZc47ZeR', 'track_href': 'https://api.spotify.com/v1/tracks/3YZE5qDV7u1ZD1gZc47ZeR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3YZE5qDV7u1ZD1gZc47ZeR', 'duration_ms': 229640, 'time_signature': 4}"
Feliz Navidad,José Feliciano,"{'danceability': 0.513, 'energy': 0.831, 'key': 2, 'loudness': -9.004, 'mode': 1, 'speechiness': 0.0383, 'acousticness': 0.55, 'instrumentalness': 0, 'liveness': 0.336, 'valence': 0.963, 'tempo': 148.837, 'type': 'audio_features', 'id': '0oPdaY4dXtc3ZsaG17V972', 'uri': 'spotify:track:0oPdaY4dXtc3ZsaG17V972', 'track_href': 'https://api.spotify.com/v1/tracks/0oPdaY4dXtc3ZsaG17V972', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0oPdaY4dXtc3ZsaG17V972', 'duration_ms': 182067, 'time_signature': 4}"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","{'danceability': 0.522, 'energy': 0.641, 'key': 8, 'loudness': -6.287, 'mode': 1, 'speechiness': 0.0318, 'acousticness': 0.0545, 'instrumentalness': 0, 'liveness': 0.162, 'valence': 0.202, 'tempo': 87.51, 'type': 'audio_features', 'id': '7CyPwkp0oE8Ro9Dd5CUDjW', 'uri': 'spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW', 'track_href': 'https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW', 'duration_ms': 244685, 'time_signature': 4}"
