name,artist,features
Glory Box,Portishead,"{'danceability': 0.51, 'energy': 0.434, 'key': 1, 'loudness': -10.004, 'mode': 1, 'speechiness': 0.0361, 'acousticness': 0.177, 'instrumentalness': 0.516, 'liveness': 0.0603, 'valence': 0.207, 'tempo': 119.695, 'type': 'audio_features', 'id': '3Ty7OTBNSigGEpeW2PqcsC', 'uri': 'spotify:track:3Ty7OTBNSigGEpeW2PqcsC', 'track_href': 'https://api.spotify.com/v1/tracks/3Ty7OTBNSigGEpeW2PqcsC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Ty7OTBNSigGEpeW2PqcsC', 'duration_ms': 308627, 'time_signature': 4}"
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,"{'danceability': 0.404, 'energy': 0.72, 'key': 10, 'loudness': -9.18, 'mode': 0, 'speechiness': 0.0623, 'acousticness': 5.59e-05, 'instrumentalness': 0.836, 'liveness': 0.0466, 'valence': 0.475, 'tempo': 121.864, 'type': 'audio_features', 'id': '6GtX0jaNL8IjVQfrDBx81z', 'uri': 'spotify:track:6GtX0jaNL8IjVQfrDBx81z', 'track_href': 'https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6GtX0jaNL8IjVQfrDBx81z', 'duration_ms': 258467, 'time_signature': 4}"
Say Yes,Elliott Smith,"{'danceability': 0.501, 'energy': 0.0903, 'key': 5, 'loudness': -20.377, 'mode': 1, 'speechiness': 0.0509, 'acousticness': 0.866, 'instrumentalness': 0.000243, 'liveness': 0.11, 'valence': 0.423, 'tempo': 153.441, 'type': 'audio_features', 'id': '4IKMZtDIqyQDA6a4YvsgpK', 'uri': 'spotify:track:4IKMZtDIqyQDA6a4YvsgpK', 'track_href': 'https://api.spotify.com/v1/tracks/4IKMZtDIqyQDA6a4YvsgpK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4IKMZtDIqyQDA6a4YvsgpK', 'duration_ms': 139000, 'time_signature': 4}"
Song 2 - 2012 Remaster,Blur,"{'danceability': 0.674, 'energy': 0.789, 'key': 8, 'loudness': -6.903, 'mode': 1, 'speechiness': 0.0676, 'acousticness': 0.00178, 'instrumentalness': 0.00708, 'liveness': 0.0753, 'valence': 0.918, 'tempo': 129.802, 'type': 'audio_features', 'id': '1FTSo4v6BOZH9QxKc3MbVM', 'uri': 'spotify:track:1FTSo4v6BOZH9QxKc3MbVM', 'track_href': 'https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM', 'duration_ms': 121160, 'time_signature': 4}"
Come As You Are,Nirvana,"{'danceability': 0.5, 'energy': 0.824, 'key': 4, 'loudness': -5.846, 'mode': 0, 'speechiness': 0.0388, 'acousticness': 0.00016, 'instrumentalness': 0.00161, 'liveness': 0.0916, 'valence': 0.539, 'tempo': 120.125, 'type': 'audio_features', 'id': '4P5KoWXOxwuobLmHXLMobV', 'uri': 'spotify:track:4P5KoWXOxwuobLmHXLMobV', 'track_href': 'https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV', 'duration_ms': 218920, 'time_signature': 4}"
Bitter Sweet Symphony - Remastered 2016,The Verve,"{'danceability': 0.356, 'energy': 0.917, 'key': 9, 'loudness': -6.006, 'mode': 1, 'speechiness': 0.0479, 'acousticness': 0.0335, 'instrumentalness': 0, 'liveness': 0.406, 'valence': 0.518, 'tempo': 171.176, 'type': 'audio_features', 'id': '57iDDD9N9tTWe75x6qhStw', 'uri': 'spotify:track:57iDDD9N9tTWe75x6qhStw', 'track_href': 'https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw', 'duration_ms': 357267, 'time_signature': 4}"
Karma Police,Radiohead,"{'danceability': 0.36, 'energy': 0.501, 'key': 7, 'loudness': -9.129, 'mode': 1, 'speechiness': 0.0258, 'acousticness': 0.0638, 'instrumentalness': 9.32e-05, 'liveness': 0.172, 'valence': 0.324, 'tempo': 74.807, 'type': 'audio_features', 'id': '63OQupATfueTdZMWTxW03A', 'uri': 'spotify:track:63OQupATfueTdZMWTxW03A', 'track_href': 'https://api.spotify.com/v1/tracks/63OQupATfueTdZMWTxW03A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/63OQupATfueTdZMWTxW03A', 'duration_ms': 264067, 'time_signature': 4}"
No Surprises,Radiohead,"{'danceability': 0.255, 'energy': 0.393, 'key': 5, 'loudness': -10.654, 'mode': 1, 'speechiness': 0.0278, 'acousticness': 0.0577, 'instrumentalness': 0.00361, 'liveness': 0.113, 'valence': 0.118, 'tempo': 76.426, 'type': 'audio_features', 'id': '10nyNJ6zNy2YVYLrcwLccB', 'uri': 'spotify:track:10nyNJ6zNy2YVYLrcwLccB', 'track_href': 'https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB', 'duration_ms': 229120, 'time_signature': 4}"
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,"{'danceability': 0.215, 'energy': 0.927, 'key': 9, 'loudness': -7.327, 'mode': 1, 'speechiness': 0.0452, 'acousticness': 0.000273, 'instrumentalness': 0.00661, 'liveness': 0.126, 'valence': 0.49, 'tempo': 170.814, 'type': 'audio_features', 'id': '6qLEOZvf5gI7kWE63JE7p3', 'uri': 'spotify:track:6qLEOZvf5gI7kWE63JE7p3', 'track_href': 'https://api.spotify.com/v1/tracks/6qLEOZvf5gI7kWE63JE7p3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6qLEOZvf5gI7kWE63JE7p3', 'duration_ms': 194853, 'time_signature': 4}"
Laid,James,"{'danceability': 0.457, 'energy': 0.909, 'key': 0, 'loudness': -9.451, 'mode': 1, 'speechiness': 0.0317, 'acousticness': 0.0016, 'instrumentalness': 0.000276, 'liveness': 0.135, 'valence': 0.755, 'tempo': 115.998, 'type': 'audio_features', 'id': '2CdS3DRqWR5LAhy4hM5X9W', 'uri': 'spotify:track:2CdS3DRqWR5LAhy4hM5X9W', 'track_href': 'https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W', 'duration_ms': 156667, 'time_signature': 4}"
Hedonism (Just Because You Feel Good),Skunk Anansie,"{'danceability': 0.563, 'energy': 0.536, 'key': 10, 'loudness': -9.488, 'mode': 1, 'speechiness': 0.0286, 'acousticness': 0.0874, 'instrumentalness': 0.000105, 'liveness': 0.164, 'valence': 0.312, 'tempo': 81.094, 'type': 'audio_features', 'id': '2qRZm3cGCUPK40j3g0G5cN', 'uri': 'spotify:track:2qRZm3cGCUPK40j3g0G5cN', 'track_href': 'https://api.spotify.com/v1/tracks/2qRZm3cGCUPK40j3g0G5cN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qRZm3cGCUPK40j3g0G5cN', 'duration_ms': 207360, 'time_signature': 4}"
Black Hole Sun,Soundgarden,"{'danceability': 0.35, 'energy': 0.828, 'key': 6, 'loudness': -5.373, 'mode': 1, 'speechiness': 0.041, 'acousticness': 0.000217, 'instrumentalness': 0.000161, 'liveness': 0.0774, 'valence': 0.147, 'tempo': 105.435, 'type': 'audio_features', 'id': '2EoOZnxNgtmZaD8uUmz2nD', 'uri': 'spotify:track:2EoOZnxNgtmZaD8uUmz2nD', 'track_href': 'https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD', 'duration_ms': 318587, 'time_signature': 4}"
